Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Load Shed,2008,11/7/2008,11:15 a.m.,11/7/2008,11:54 a.m.,California ISO,Southern California,WECC,430,"400,000",load shedding
Load Shed,2008,11/7/2008,11:13 a.m.,11/7/2008,11:54 a.m.,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,250,"140,000",load shedding
Ice and Snow,2008,10/25/2008,11:00 p.m.,10/27/2008,7:00 a.m.,ISO New England,Connecticut,NPCC,N/A,"52,000","severe weather, storm"
Load Shed,2008,10/2/2008,2:50 p.m.,10/2/2008,9:50 a.m.,Dow Chemical Company,Louisiana,SERC,200,0,load shedding
Electrical System Separation,2008,9/30/2008,2:02 p.m.,9/30/2008,2:05 p.m.,Pacific Gas and Electric Company,"Plumas County, California",WECC,30,"10,000",islanding
Load Shed,2008,9/22/2008,5:49 p.m.,9/22/2008,6:39 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,125,"43,600",load shedding
Hurricane,2008,9/15/2008,12:37 a.m.,9/19/2008,4:30 p.m.,Allegheny Power,Western Pennsylvania,RFC,546,"160,875","severe weather, hurricane/tropical storm"
Storm,2008,9/14/2008,5:00 p.m.,9/22/2008,5:11 p.m.,Ohio Edison Company,"Southern, Eastern, and Central Ohio",RFC,469,"564,728","severe weather, wind"
High Winds and Rain,2008,9/14/2008,10:01 a.m.,9/21/2008,5:00 p.m.,Owensboro Municipal Utilities,"City of Owensboro, Kentucky",RFC,70,"18,000","severe weather, wind"
Hurricane,2008,9/14/2008,11:30 a.m.,9/14/2008,4:30 p.m.,Louisville Gas/Kentucky Utilities,State of Kentucky,RFC,N/A,"375,000","severe weather, hurricane/tropical storm"
Storm,2008,9/14/2008,5:00 p.m.,9/22/2008,3:20 a.m.,Cleveland Electric Illuminating Company,Northeast Ohio,RFC,430,"245,164","severe weather, wind"
Hurricane,2008,9/14/2008,7:30 a.m.,9/18/2008,3:00 p.m.,Ameren Corporation,Missouri and Illinois,MRO,N/A,"107,000","severe weather, hurricane/tropical storm"
Hurricane,2008,9/14/2008,6:30 a.m.,9/14/2008,2:38 p.m.,Midwest ISO,"Ohio, Kentucky, Indiana",RFC,N/A,"875,000","severe weather, hurricane/tropical storm"
Storm,2008,9/14/2008,5:00 p.m.,9/19/2008,12:38 p.m.,Pennsylvania Electric Company,Western Pennsylvania,RFC,72,"124,596","severe weather, wind"
Hurricane,2008,9/14/2008,2:00 p.m.,9/17/2008,12:00 p.m.,Dayton Power and Light,Dayton Ohio Area,RFC,"1,000","95,000","severe weather, hurricane/tropical storm"
Hurricane,2008,9/14/2008,7:00 p.m.,9/14/2008,11:59 p.m.,Duquesne Light Company,Allegheny and Beaver Counties in Pennsylvania,RFC,600,"105,000","severe weather, hurricane/tropical storm"
Storm,2008,9/14/2008,4:00 p.m.,9/20/2008,11:00 p.m.,American Electric Company,"Northern Indiana, Central and Central Southern Ohio",RFC,N/A,"650,000","severe weather, wind"
Hurricane,2008,9/13/2008,12:00 p.m.,9/15/2008,8:00 a.m.,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,N/A,"238,392","severe weather, hurricane/tropical storm"
Hurricane,2008,9/13/2008,4:00 p.m.,9/16/2008,7:44 p.m.,American Electric Power CSWS,Texas and Louisana,SPP,N/A,"184,501","severe weather, hurricane/tropical storm"
Hurricane,2008,9/13/2008,10:24 a.m.,9/27/2008,2:40 p.m.,Louisiana Generating LLC,Southwest Louisiana,SERC,40,"50,000","severe weather, hurricane/tropical storm"
Hurricane,2008,9/12/2008,8:00 p.m.,9/27/2008,7:00 p.m.,Texas New Mexico Power Company,Galveston and Brazoria Counties,TRE,650,"113,247","severe weather, hurricane/tropical storm"
Hurricane,2008,9/12/2008,6:21 p.m.,10/1/2008,11:59 p.m.,CenterPoint Energy,Greater Houston-Galveston Metro Area,TRE,"8,087","2,142,678","severe weather, hurricane/tropical storm"
Hurricane,2008,9/12/2008,6:21 p.m.,10/1/2008,11:59 p.m.,Electric Reliability Council of Texas,Greater Houston Area-Eastern Region of ERCOT,TRE,N/A,"2,504,366","severe weather, hurricane/tropical storm"
Hurricane,2008,9/12/2008,5:45 a.m.,9/14/2008,1:00 p.m.,Entergy Corporation,"Primarily Southeast Texas, Louisiana, and Arkansas",SERC,N/A,"705,000","severe weather, hurricane/tropical storm"
Fuel Supply Emergency,2008,9/8/2008,10:03 p.m.,9/9/2008,12:28 a.m.,"State of California, Department of Water Resources",A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Storm,2008,9/6/2008,2:15 p.m.,9/6/2008,4:06 p.m.,Dominion-Virginia Power,North East North Carolina and Virginia,SERC,220,"64,463","severe weather, hurricane/tropical storm"
Storm,2008,9/6/2008,7:45 a.m.,9/6/2008,10:30 a.m.,Progress Energy Carolinas,Eastern North Carolina,SERC,N/A,"57,000","severe weather, hurricane/tropical storm"
Hurricane,2008,9/1/2008,10:30 a.m.,9/13/2008,7:22 p.m.,Louisiana Generating LLC,Primarily South and Central Louisiana,SERC,400,"150,000","severe weather, hurricane/tropical storm"
Hurricane,2008,9/1/2008,11:45 a.m.,9/10/2008,4:00 p.m.,Cleco Power LLC,"Bayou Division and North Lake Division, Louisiana",SERC,N/A,"246,092","severe weather, hurricane/tropical storm"
Fuel Supply Emergency,2008,8/31/2008,7:30 a.m.,9/19/2008,9:00 a.m.,Dow Chemical Company,"Plaquemine, Louisiana",SERC,200,0,fuel supply emergency
Hurricane,2008,8/31/2008,7:00 p.m.,9/3/2008,9:00 a.m.,Entergy Corporation,"Louisiana, Mississippi, Arkansas",SERC,N/A,"964,000","severe weather, hurricane/tropical storm"
Storm,2008,8/24/2008,4:30 a.m.,8/24/2008,2:00 p.m.,Southern Company,Georgia and Alabama,SERC,110,"87,390","severe weather, hurricane/tropical storm"
Fuel Supply Emergency,2008,8/22/2008,12:00 p.m.,8/23/2008,12:00 p.m.,Mirant Chalk Point LLC,-,RFC,0,0,"fuel supply emergency, coal"
Storm,2008,8/21/2008,7:00 p.m.,8/25/2008,8:00 a.m.,Progress Energy Florida,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter,  Suwannee, Taylor, Volusia and Wakulla Counties in Florida",FRCC,N/A,"430,000","severe weather, hurricane/tropical storm"
Storm,2008,8/19/2008,9:29 a.m.,8/22/2008,10:00 p.m.,Florida Power and Light,Florida,FRCC,N/A,"101,950","severe weather, hurricane/tropical storm"
Load Shed,2008,8/18/2008,7:22 p.m.,8/19/2008,6:44 p.m.,Puerto Rico Electric Power Authority,North Part of Island,PR,225,"100,000",load shedding
Equipment Failure,2008,8/16/2008,5:23 a.m.,8/16/2008,7:30 a.m.,Lubbock Power and Light,City of Lubbock,TRE,153,"71,823","severe weather, thunderstorm, equipment failure"
Load Shed,2008,8/16/2008,8:14 a.m.,8/16/2008,3:00 p.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,300,"200,000","load shedding, voltage reduction"
Public Appeal,2008,8/15/2008,12:52 p.m.,8/15/2008,5:00 p.m.,Seattle City Light,Part of Seattle's Downtown,WECC,100,"8,000",public appeal
Declared Energy Emergency,2008,8/9/2008,12:00 p.m.,8/9/2008,8:46 p.m.,XCEL,Texas Panhandle and Eastern New Mexico,SPP,0,0,"fuel supply emergency, public appeal"
Storm,2008,8/5/2008,3:00 a.m.,8/5/2008,9:50 a.m.,Northern Indiana Public Service Company,Northwest Indiana,RFC,0,"63,000","severe weather, storm"
Severe Weather,2008,8/4/2008,6:00 p.m.,8/6/2008,8:00 a.m.,Exelon Corporation West ComEd,The ComEd Territory,RFC,N/A,"653,000",severe weather
Storm,2008,8/3/2008,1:30 a.m.,8/3/2008,4:15 a.m.,Entergy Corporation,"Mississippi, Louisiana, Texas",SERC,N/A,"59,500","severe weather, thunderstorm"
Storm,2008,8/2/2008,8:00 p.m.,8/3/2008,5:30 a.m.,Southern Company,Georgia and Alabama,SERC,400,"131,115","severe weather, thunderstorm"
Electrical System Separation,2008,7/24/2008,7:23 a.m.,7/24/2008,5:41 p.m.,ISO New England,"Bangor Hydro System, northern Maine",NPCC,180,"110,000","severe weather, thunderstorm, islanding"
Hurricane,2008,7/23/2008,5:56 a.m.,7/31/2008,4:00 a.m.,American Electric Power,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",TRE,703,"211,266","severe weather, hurricane/tropical storm"
Storm,2008,7/22/2008,3:00 a.m.,7/24/2008,7:32 p.m.,Duke Energy Indiana,Indiana,RFC,N/A,"58,000","severe weather, thunderstorm"
Load Shed,2008,7/22/2008,2:00 p.m.,7/24/2008,5:09 a.m.,Southwestern Public Service Company,Texas Panhandle and Southeastern New Mexico,SPP,N/A,-,"load shedding, public appeal"
Storm,2008,7/22/2008,3:00 a.m.,7/23/2008,3:30 a.m.,Duke Energy Ohio,Southwest Ohio,RFC,N/A,"56,000","severe weather, thunderstorm"
Storm,2008,7/21/2008,12:49 a.m.,7/22/2008,6:00 p.m.,MidAmercian Energy Company,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",MRO,170,"185,000","severe weather, storm"
Unit Tripped,2008,7/10/2008,2:22 p.m.,7/10/2008,5:21 p.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,240,-,generator trip
Fire,2008,7/7/2008,12:15 p.m.,7/10/2008,5:00 p.m.,California ISO,ISO Balancing Area,WECC,0,0,"severe weather, heat, public appeal"
Fuel Supply Emergency,2008,7/2/2008,4:00 p.m.,Ongoing,Ongoing,"State of California, Department of Water Resources",Restricted Hydroelectric Capability,WECC,-,-,fuel supply emergency
Storm,2008,7/2/2008,8:00 p.m.,7/3/2008,3:00 a.m.,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,N/A,"56,000","severe weather, thunderstorm"
Severe Weather,2008,7/2/2008,3:00 p.m.,7/6/2008,12:00 p.m.,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,125,"239,663",severe weather
Fire,2008,7/2/2008,7:16 p.m.,7/2/2008,11:28 p.m.,California ISO,"Santa Barbara County, California, near Goleta",WECC,208,"200,000",wild fire
Fire,2008,7/2/2008,7:36 p.m.,7/3/2008,1:10 a.m.,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,119,"37,784","wild fire, load shedding"
Unit Tripped,2008,7/1/2008,7:31 a.m.,7/1/2008,12:00 p.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,160,-,generator trip
Storm,2008,6/27/2008,4:30 p.m.,6/27/2008,5:30 p.m.,Omaha Public Power District,"Omaha, Nebraska (Metro Area)",MRO,650,"126,000","severe weather, wind"
Storm,2008,6/26/2008,5:00 p.m.,6/26/2008,9:30 p.m.,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,N/A,"53,000","severe weather, thunderstorm"
Equipment Failure,2008,6/23/2008,4:52 p.m.,6/23/2008,11:28 p.m.,Progress Energy Florida,"Pinellas County, Florida",FRCC,113,"32,593","load shedding, equipment failure"
Fire,2008,6/23/2008,1:44 p.m.,6/23/2008,1:45 p.m.,Northern Indiana Public Service Company,Northcentral Indiana,RFC,425,N/A,equipment failure
Lightning,2008,6/22/2008,4:55 p.m.,6/22/2008,5:05 p.m.,Northern Indiana Public Service Company,Northwest Indiana,RFC,650,N/A,"severe weather, thunderstorm"
Electrical System Separation,2008,6/21/2008,3:09 p.m.,6/21/2008,6:53 p.m.,Pacific Gas and Electric Company,"Near Rogers Flat, California",WECC,3,477,"severe weather, thunderstorm, islanding"
Storm,2008,6/17/2008,9:01 a.m.,6/19/2008,8:30 p.m.,Oncor Electric Delivery Company LLC,"North, Central and East Texas",TRE,N/A,"234,393","severe weather, thunderstorm"
Storm,2008,6/17/2008,8:40 p.m.,6/17/2008,11:00 p.m.,"Golden Spread Electric Cooperative, Inc","Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,276,"37,330","severe weather, thunderstorm, uncontrolled loss"
Electrical System Separation,2008,6/17/2008,8:35 p.m.,6/18/2008,1:55 a.m.,Southwestern Public Service Company,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,SPP,560,"18,000","severe weather, thunderstorm, islanding"
Storm,2008,6/16/2008,4:15 p.m.,6/16/2008,11:19 p.m.,Dominion-Virginia Power,Northern Virginia,SERC,"1,000","115,000","severe weather, thunderstorm"
Electrical System Separation,2008,6/15/2008,7:06 p.m.,6/15/2008,8:42 p.m.,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,57,"9,700",islanding
Severe Weather,2008,6/15/2008,8:00 a.m.,6/15/2008,8:00 p.m.,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,N/A,"165,000",severe weather
Flood,2008,6/12/2008,3:30 p.m.,6/18/2008,4:00 p.m.,"Midwest ISO, ITC, ALTW",East Central Iowa,RFC,200,"21,000","severe weather, flooding, uncontrolled loss"
Equipment Failure,2008,6/11/2008,1:15 p.m.,6/11/2008,2:05 p.m.,New York Independent System Operator,New York State,NPCC,200,"61,000",uncontrolled loss
Storm,2008,6/10/2008,11:00 p.m.,6/11/2008,9:00 a.m.,ISO New England,All Six New England States,NPCC,50,"60,000","severe weather, storm"
Load Shed,2008,6/10/2008,2:00 p.m.,6/10/2008,6:00 p.m.,"Entergy Services, Inc.",Entergy System,SERC,300,19,load shedding
Storm,2008,6/10/2008,11:00 a.m.,6/13/2008,5:30 p.m.,National Grid,Upstate New York,NPCC,400,"68,000","severe weather, storm"
Storm,2008,6/10/2008,7:00 p.m.,6/14/2008,3:59 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,N/A,"198,000","severe weather, thunderstorm"
Storm,2008,6/10/2008,6:00 p.m.,6/14/2008,11:30 a.m.,Public Service Electric and Gas,"Bergen, Essex and Hudson Counties, New Jersey",RFC,N/A,"248,800","severe weather, storm"
Fire,2008,6/9/2008,2:52 p.m.,6/9/2008,8:25 p.m.,Public Service Electric and Gas,"Area Around West Orange Switching Station, New Jersey",RFC,215,"75,654",equipment failure
Load Shed,2008,6/9/2008,2:00 p.m.,6/9/2008,7:00 p.m.,"Entergy Services, Inc.",Entergy System,SERC,300,19,load shedding
Severe Weather,2008,6/8/2008,9:30 a.m.,6/9/2008,7:00 a.m.,Exelon Corporation-ComEd,The Entire ComEd Territory,RFC,N/A,"125,000",severe weather
Storm,2008,6/8/2008,6:00 p.m.,6/16/2008,11:30 p.m.,Detroit Edison Company-DTE,Southwestern Michigan (DECO Service Territory),RFC,500,"150,000","severe weather, storm"
Ice and Snow,2008,6/6/2008,3:18 p.m.,6/12/2008,8:00 a.m.,Consumers Energy,Lower 2/3 of Michigan's Lower Peninsula,RFC,100,"358,000","severe weather, thunderstorm"
Ice and Snow,2008,6/4/2008,3:04 p.m.,6/5/2008,9:30 p.m.,Dominion-Virginia Power,Northern Virginia,SERC,850,"253,800","severe weather, thunderstorm"
Ice and Snow,2008,6/4/2008,3:00 p.m.,6/7/2008,5:30 a.m.,Baltimore Gas and Electric Company,Entire BGE Service Territory,RFC,N/A,"108,000","severe weather, storm"
Voltage Reduction,2008,6/4/2008,3:14 p.m.,6/4/2008,3:46 p..m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,90,"100,948","load shedding, voltage reduction"
Ice and Snow,2008,6/4/2008,3:00 p.m.,6/5/2008,1:00 a.m.,Potomac Electric Power Company,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",RFC,N/A,"249,408","severe weather, thunderstorm"
Severe Weather,2008,6/3/2008,5:00 p.m.,6/7/2008,11:00 p.m.,Allegheny Power,"Maryland, West Virginia, Virginia",RFC,634,"157,168",severe weather
Load Shed,2008,5/30/2008,2:05 p.m.,5/30/2008,8:00 p.m.,"Entergy Services, Inc.",South Louisiana,SERC,250,N/A,load shedding
Ice and Snow,2008,5/30/2008,10:00 p.m.,6/4/2008,11:59 p.m.,Indianapolis Power and Light,"Northeastern Marion County, Indiana",RFC,N/A,"70,000","severe weather, thunderstorm"
Ice and Snow,2008,5/30/2008,9:30 a.m.,5/30/2008,11:00 p.m.,Exelon Corporation-ComEd,Northern and Western Counties of Illinois,RFC,N/A,"109,000","severe weather, storm"
Ice and Snow,2008,5/27/2008,2:02 p.m.,5/27/2008,3:52 p.m.,ISO New England,South West Connecticut,NPCC,130,"56,400","severe weather, thunderstorm"
Ice and Snow,2008,5/12/2008,12:01 a.m.,5/14/2008,12:00 a.m.,Atlantic City Electric,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",RFC,55,"135,000","severe weather, storm"
Electrical System Separation,2008,5/11/2008,4:50 p.m.,5/11/2008,8:43 p.m.,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,47,"9,700",islanding
Ice and Snow,2008,5/11/2008,6:00 a.m.,5/12/2008,2:30 p.m.,Southern Company,Georgia,SERC,100,"80,539","severe weather, thunderstorm"
Load Shed,2008,5/8/2008,10:21 a.m.,5/8/2008,12:56 a.m.,California ISO,California,WECC,483,0,load shedding
Severe Weather,2008,4/9/2008,4:00 p.m.,4/13/2008,1:15 a.m.,Oncor Electrtic Delivery Company LLC,"North, Central and East Texas",TRE,N/A,"488,689",severe weather
Ice and Snow,2008,4/4/2008,12:31 p.m.,4/4/2008,5:00 p.m.,Entergy Corporation,"Arkansas, North Louisiana, Mississippi",SERC,N/A,"122,600","severe weather, thunderstorm"
Ice and Snow,2008,3/15/2008,8:55 p.m.,3/16/2008,8:30 p.m.,Southern Company,Parts of Alabama and Georgia,SERC,200,"157,744","severe weather, storm"
Storm,2008,3/8/2008,2:14 p.m.,3/8/2008,9:59 p.m.,Dominion-Virginia Power,Virginia and Eastern Part of North Carolina,SERC,210,"141,130","severe weather, wind"
Severe Weather,2008,3/8/2008,4:00 p.m.,3/10/2008,1:44 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",RFC,N/A,"168,449",severe weather
Storm,2008,3/4/2008,9:30 p.m.,3/4/2008,10:45 p.m.,Duke Energy Carolinas,North and South Carolina,SERC,300,"55,267","severe weather, thunderstorm"
Equipment Failure,2008,2/26/2008,1:09 p.m.,2/26/2008,4:11 p.m.,Florida Power and Light,Primary Dade County Florida,FRCC,"3,200","584,384","equipment failure, transmission interruption"
Load Shed,2008,2/26/2008,1:10 p.m.,2/26/2008,3:45 p.m.,Progress Energy Florida,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",FRCC,500,"150,000",load shedding
Storm,2008,2/26/2008,5:00 a.m.,2/26/2008,3:00 p.m.,Southern Company,Southern Service Area/Alabama and Georgia,SERC,484,"145,380","severe weather, thunderstorm"
Load Shed,2008,2/26/2008,1:09 p.m.,2/26/2008,2:40 p.m.,Tampa Electric Company,Tampa Electric Service Territory,FRCC,318,"53,965",load shedding
Load Shed,2008,2/26/2008,1:09 p.m.,2/26/2008,2:10 p.m.,Florida Municipal Power Agency,Various Cities in Florida,FRCC,140,"47,661",load shedding
Load Shed,2008,2/26/2008,1:09 p.m.,2/26/2008,1:47 p.m.,Seminole Electric Cooperative,FRCC Region-West Coast Florida,FRCC,120,"56,000",load shedding
Fuel Supply Emergency,2008,2/25/2008,8:00 a.m.,3/12/2008,8:00 a.m.,Owensboro Municpal Utilities,Restricted Coal Capability,RFC,N/A,0,fuel supply emergency
Electrical System Separation,2008,2/15/2008,3:06 p.m.,2/15/2008,7:36 p.m.,Pacific Gas and Electric Company,"Antioch, California",WECC,10,"10,008",islanding
Load Shed,2008,2/14/2008,8:15 a.m.,2/14/2008,10:46 a.m.,PacifiCorp,Utah,WECC,"2,818","74,031",load shedding
Ice and Snow,2008,2/13/2008,6:43 p.m.,2/14/2008,12:00 p.m.,ISO New England,State of Maine,NPCC,50,"50,462","severe weather, winter storm"
Severe Weather,2008,2/12/2008,3:00 p.m.,2/15/2008,5:00 p.m.,Entergy Corporation,"Arkansas, Mississippi, Louisiana",SERC,N/A,"54,000",severe weather
Severe Weather,2008,2/10/2008,4:00 a.m.,2/12/2008,8:43 p.m.,Allegheny Power,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",RFC,412,"100,969",severe weather
High Winds and Rain,2008,2/10/2008,11:00 a.m.,2/14/2008,5:05 p.m.,American Electric Power,Virginia and West Virginia Area of AEP,RFC,N/A,"97,342","severe weather, wind"
High Winds and Rain,2008,2/10/2008,6:02 p.m.,2/11/2008,4:00 a.m.,Duke Energy Carolinas,"Greenboro, North Carolina and I-40 Corridor",SERC,300,"50,718","severe weather, wind"
High Winds and Rain,2008,2/10/2008,2:06 p.m.,2/10/2008,11:36 p.m.,Dominion-Virginia Power,Dominion Service Territory,SERC,170,"114,618","severe weather, wind"
High Winds and Rain,2008,2/10/2008,11:00 a.m.,2/10/2008,11:36 p.m.,PJM Interconnection LLC,"Virginia, West Virginia, Ohio, Pennsylvania",RFC,N/A,"212,560","severe weather, wind"
Electrical System Separation,2008,2/9/2008,11:59 a.m.,2/9/2008,3:33 p.m.,Pacific Gas and Electric Company,"Near Arnold, California",WECC,0,0,islanding
Severe Weather,2008,2/6/2008,9:00 a.m.,2/6/2008,11:00 a.m.,Tennessee Valley Authority,Mid to West Tennessee,SERC,N/A,"57,000",severe weather
Severe Weather,2008,2/5/2008,10:00 p.m.,2/6/2008,3:00 a.m.,LG&E Energy/Kentucky Utilities,State of Kentucky,SERC,N/A,"76,000",severe weather
Equipment Failure,2008,2/2/2008,3:58 a.m.,2/2/2008,4:27 p.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,N/A,-,equipment failure
Equipment Failure,2008,2/1/2008,6:00 a.m.,2/1/2008,7:49 a.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,N/A,-,equipment failure
High Winds and Rain,2008,1/30/2008,3:06 a.m.,2/1/2008,2:50 p.m.,Niagara Mohawk Power Corporation,"Western, New York",NPCC,50,"54,316","severe weather, wind"
